Coaster,Park,State,Month,Year,Type,Make,Opened,Closed
Jett Star,Magic Valley Food N' Fun,VA,6,2002,Steel,Wisdom Rides,unknown,2005
Kingdom Coaster,Dutch Wonderland,PA,6,2003,Wood,CCI,1992,
Expedition Everest,Walt Disney World - Disney's Animal Kingdom,FL,6,2009,Steel,Vekoma,2006,
Big Thunder Mountain Railroad,Walt Disney World - Magic Kingdom,FL,6,2009,Steel,Arrow,1980,
Roller Soaker,Hersheypark,PA,7,2010,Steel,Setpoint,2002,2012
Trailblazer,Hersheypark,PA,7,2010,Steel,Arrow,1974,
Fahrenheit,Hersheypark,PA,5,2012,Steel,Intamin,2008,
Great Bear,Hersheypark,PA,5,2012,Steel,B&M,1998,
Jolly Rancher Remix,Hersheypark,PA,5,2012,Steel,Vekoma,1991,
Alpengeist,Busch Gardens Williamsburg,VA,5,2013,Steel,B&M,1997,
Griffon,Busch Gardens Williamsburg,VA,5,2013,Steel,B&M,2007,
Loch Ness Monster,Busch Gardens Williamsburg,VA,5,2013,Steel,Arrow,1978,
Verbolten,Busch Gardens Williamsburg,VA,5,2013,Steel,Zierer,2012,
Laff Trakk,Hersheypark,PA,7,2015,Steel,Maurer,2015,
Lightning Racer,Hersheypark,PA,7,2015,Wood,GCI,2000,
Skyrush,Hersheypark,PA,7,2015,Steel,Intamin,2012,
Sooperdooperlooper,Hersheypark,PA,7,2015,Steel,Schwarzkopf,1977,
Rock 'n' Roller Coaster,Walt Disney World - Disney's Hollywood Studios,FL,5,2016,Steel,Vekoma,1999,
Seven Dwarves Mine Train,Walt Disney World - Magic Kingdom,FL,5,2016,Steel,Vekoma,2014,
Space Mountain,Walt Disney World - Magic Kingdom,FL,5,2016,Steel,Arrow,1975,
Storm Runner,Hersheypark,PA,7,2016,Steel,Intamin,2004,
Wildcat,Hersheypark,PA,7,2016,Wood,GCI,1996,2022
Jack Rabbit,Kennywood,PA,7,2020,Wood,John Miller,1920,
Phantom's Revenge,Kennywood,PA,7,2020,Steel,Morgan,1991,
Racer,Kennywood,PA,7,2020,Wood,John Miller,1927,
Sky Rocket,Kennywood,PA,7,2020,Steel,Premier,2010,
Exterminator,Kennywood,PA,5,2021,Steel,Reverchon,1999,
Comet,Waldameer,PA,5,2021,Wood,PTC,1951,
Ravine Flyer II,Waldameer,PA,5,2021,Wood,Gravity Group,2008,
Steel Curtain,Kennywood,PA,6,2021,Steel,S&S,2019,
Steel Dragon,Waldameer,PA,6,2021,Steel,Maurer,2004,
Thunderbolt,Kennywood,PA,6,2021,Wood,John Miller,1924,
Steel Lasso,Frontier City,OK,6,2021,Steel,Vekoma,2008,
Wildcat,Frontier City,OK,6,2021,Wood,NADC,1991,
Hydra the Revenge,Dorney Park,PA,7,2021,Steel,B&M,2005,
Possessed,Dorney Park,PA,7,2021,Steel,Intamin,2008,
Steel Force,Dorney Park,PA,7,2021,Steel,Morgan,1997,
Thunderhawk,Dorney Park,PA,7,2021,Wood,PTC,1924,
Twister,Knoebels Amusement Resort,PA,7,2021,Wood,In-House,1999,
Phoenix,Knoebels Amusement Resort,PA,7,2021,Wood,PTC,1985,
Impulse,Knoebels Amusement Resort,PA,7,2021,Steel,Zierer,2015,
Nighthawk,Carowinds,NC,7,2021,Steel,Vekoma,2004,
Copperhead Strike,Carowinds,NC,7,2021,Steel,Mack,2019,
Afterburn,Carowinds,NC,7,2021,Steel,B&M,1999,
Intimidator,Carowinds,NC,7,2021,Steel,B&M,2010,
Fury 325,Carowinds,NC,7,2021,Steel,B&M,2015,
Carolina Goldrusher,Carowinds,NC,7,2021,Steel,Arrow,1973,
Millennium Force,Cedar Point,OH,8,2021,Steel,Intamin,2000,
Maverick,Cedar Point,OH,8,2021,Steel,Intamin,2007,
Steel Vengeance,Cedar Point,OH,8,2021,Hybrid,RMC,2018,
Magnum XL-200,Cedar Point,OH,8,2021,Steel,Arrow,1989,
Corkscrew,Cedar Point,OH,8,2021,Steel,Arrow,1976,
Wicked Twister,Cedar Point,OH,8,2021,Steel,Intamin,2002,2021
Gatekeeper,Cedar Point,OH,8,2021,Steel,B&M,2013,
Diamondback,Kings Island,OH,8,2021,Steel,B&M,2009,
Mystic Timbers,Kings Island,OH,8,2021,Wood,GCI,2017,
Backlot Stunt Coaster,Kings Island,OH,8,2021,Steel,Premier,2005,
Orion,Kings Island,OH,8,2021,Steel,B&M,2020,
Banshee,Kings Island,OH,8,2021,Steel,B&M,2014,
Bat,Kings Island,OH,8,2021,Steel,Arrow,1993,
Raptor,Cedar Point,OH,8,2021,Steel,B&M,1994,
Valravn,Cedar Point,OH,8,2021,Steel,B&M,2016,
Rougarou,Cedar Point,OH,8,2021,Steel,B&M,1996,
Blue Streak,Cedar Point,OH,8,2021,Wood,PTC,1964,
Beast,Kings Island,OH,10,2021,Wood,Dinn,1979,
Candymonium,Hersheypark,PA,10,2021,Steel,B&M,2020,
Twisted Timbers,Kings Dominion,VA,12,2021,Hybrid,RMC,2018,
Dominator,Kings Dominion,VA,12,2021,Steel,B&M,2008,
Comet,Hersheypark,PA,4,2022,Wood,PTC,1946,
Mystery Mine,Dollywood,TN,5,2022,Steel,Gerstlauer,2007,
Dragonflier,Dollywood,TN,5,2022,Steel,Vekoma,2019,
Firechaser Express,Dollywood,TN,5,2022,Steel,Gerstlauer,2014,
Wild Eagle,Dollywood,TN,5,2022,Steel,B&M,2012,
Tennessee Tornado,Dollywood,TN,5,2022,Steel,Arrow,1999,
Lightning Rod,Dollywood,TN,5,2022,Hybrid,RMC,2016,
Thunderhead,Dollywood,TN,5,2022,Wood,GCI,2004,
Voyage,Holiday World,IN,6,2022,Wood,Gravity Group,2006,
Legend,Holiday World,IN,6,2022,Wood,CCI,2000,
Raven,Holiday World,IN,6,2022,Wood,CCI,1995,
Thunderbird,Holiday World,IN,6,2022,Steel,B&M,2015,
Lightning Run,Kentucky Kingdom,KY,6,2022,Steel,Chance,2014,
Kentucky Flyer,Kentucky Kingdom,KY,6,2022,Wood,Gravitykraft,2019,
Storm Chaser,Kentucky Kingdom,KY,6,2022,Hybrid,RMC,2016,
Mr. Freeze Reverse Blast,Six Flags St. Louis,MO,6,2022,Steel,Premier,1998,
Boss,Six Flags St. Louis,MO,6,2022,Wood,CCI,2000,
Prowler,Worlds of Fun,MO,6,2022,Wood,GCI,2009,
Mamba,Worlds of Fun,MO,6,2022,Steel,Morgan,1998,
Patriot,Worlds of Fun,MO,6,2022,Steel,B&M,2006,
Time Traveler,Silver Dollar City,MO,6,2022,Steel,Mack,2018,
Outlaw Run,Silver Dollar City,MO,6,2022,Wood,RMC,2013,
Wildfire,Silver Dollar City,MO,6,2022,Steel,B&M,2001,
Powder Keg,Silver Dollar City,MO,6,2022,Steel,S&S,1999,
New Texas Giant,Six Flags Over Texas,TX,6,2022,Hybrid,RMC,2011,
Runaway Mountain,Six Flags Over Texas,TX,6,2022,Steel,Premier,1996,
Mr. Freeze Reverse Blast,Six Flags Over Texas,TX,6,2022,Steel,Premier,1998,
Shock Wave,Six Flags Over Texas,TX,6,2022,Steel,Schwarzkopf,1978,
Wonder Woman Golden Lasso Coaster,Six Flags Fiesta Texas,TX,6,2022,Steel,RMC,2018,
Poltergeist,Six Flags Fiesta Texas,TX,6,2022,Steel,Premier,1999,
Superman Krypton Coaster,Six Flags Fiesta Texas,TX,6,2022,Steel,B&M,2000,
Iron Rattler,Six Flags Fiesta Texas,TX,6,2022,Hybrid,RMC,2013,
Boardwalk Bullet,Kemah Boardwalk,TX,6,2022,Wood,Martin & Vleminckx,2007,
Iron Shark,Galveston Island Historic Pleasure Pier,TX,6,2022,Steel,Gerstlauer,2012,
Twisted Cyclone,Six Flags Over Georgia,GA,6,2022,Hybrid,RMC,2018,
Goliath,Six Flags Over Georgia,GA,6,2022,Steel,B&M,2006,
Dare Devil Dive,Six Flags Over Georgia,GA,6,2022,Steel,Gerstlauer,2011,
Pantheon,Busch Gardens Williamsburg,VA,6,2022,Steel,Intamin,2022,
Apollo's Chariot,Busch Gardens Williamsburg,VA,6,2022,Steel,B&M,1999,
InvadR,Busch Gardens Williamsburg,VA,6,2022,Wood,GCI,2017,
Intimidator 305,Kings Dominion,VA,6,2022,Steel,Intamin,2010,
Racer,Kings Island,OH,8,2022,Wood,PTC,1972,
Whirlwind,Waldameer,PA,8,2022,Steel,SBF Visa,2004,
Ravine Flyer 3,Waldameer,PA,8,2022,Steel,E&F Miler,2000,
Bobsleds,Seabreeze,NY,8,2022,Hybrid,George Long,1954,
Jack Rabbit,Seabreeze,NY,8,2022,Wood,John Miller,1920,
Whirlwind,Seabreeze,NY,8,2022,Steel,Maurer,2004,
Boomerang Coast to Coaster,Six Flags Darien Lake,NY,8,2022,Steel,Vekoma,1998,
Moto Coaster,Six Flags Darien Lake,NY,8,2022,Steel,Zamperla,2008,
Ride of Steel,Six Flags Darien Lake,NY,8,2022,Steel,Intamin,1999,
Tantrum,Six Flags Darien Lake,NY,8,2022,Steel,Gerstlauer,2018,
Viper,Six Flags Darien Lake,NY,8,2022,Steel,Arrow,1982,
Leap The Dips,Lakemont Park,PA,8,2022,Wood,unknown,1902,
Skyliner,Lakemont Park,PA,8,2022,Wood,PTC,1987,
Crazy Mouse,DelGrosso's Amusement Park,PA,8,2022,Steel,Reverchon,2004,
Wacky Worm,DelGrosso's Amusement Park,PA,8,2022,Steel,Fajume,2004,
Superman - Ultimate Flight,Six Flags Great Adventure,NJ,8,2022,Steel,B&M,2003,
Green Lantern,Six Flags Great Adventure,NJ,8,2022,Steel,B&M,2011,
El Toro,Six Flags Great Adventure,NJ,8,2022,Wood,Intamin,2006,
Kingda Ka,Six Flags Great Adventure,NJ,8,2022,Steel,Intamin,2005,
Medusa,Six Flags Great Adventure,NJ,8,2022,Steel,B&M,1999,
Runaway Mine Train,Six Flags Great Adventure,NJ,8,2022,Steel,Arrow,1974,
Skull Mountain,Six Flags Great Adventure,NJ,8,2022,Steel,Intamin,1996,
Nitro,Six Flags Great Adventure,NJ,8,2022,Steel,B&M,2001,
Jersey Devil Coaster,Six Flags Great Adventure,NJ,8,2022,Steel,RMC,2021,
Wild Mouse,Dorney Park,PA,8,2022,Steel,Maurer,2000,
Talon,Dorney Park,PA,8,2022,Steel,B&M,2001,
Iron Gwazi,Busch Gardens Tampa,FL,10,2022,Hybrid,RMC,2022,
SheiKra,Busch Gardens Tampa,FL,10,2022,Steel,B&M,2005,
Kumba,Busch Gardens Tampa,FL,10,2022,Steel,B&M,1993,
Scorpion,Busch Gardens Tampa,FL,10,2022,Steel,Schwarzkopf,1980,
Cheetah Hunt,Busch Gardens Tampa,FL,10,2022,Steel,Intamin,2011,
Montu,Busch Gardens Tampa,FL,10,2022,Steel,B&M,1996,
Jurassic World Velocicoaster,Universal Studios Islands of Adventure,FL,11,2022,Steel,Intamin,2021,
Hagrid's Magical Creatures Motorbike Adventure,Universal Studios Islands of Adventure,FL,11,2022,Steel,Intamin,2019,
Kraken,SeaWorld Orlando,FL,11,2022,Steel,B&M,2000,
Mako,SeaWorld Orlando,FL,11,2022,Steel,B&M,2016,
Hurler,Carowinds,NC,11,2022,Wood,International,1994,
Cobra's Curse,Busch Gardens Tampa,FL,12,2022,Steel,Mack,2016,
Revenge of the Mummy,Universal Studios Florida,FL,12,2022,Steel,Premier,2004,
Incredible Hulk,Universal Studios Islands of Adventure,FL,12,2022,Steel,B&M,1999,
Manta,SeaWorld Orlando,FL,12,2022,Steel,B&M,2009,