Rank,Coaster,Park
1,Iron Gwazi,Busch Gardens Tampa
2,Steel Vengeance,Cedar Point
3,Jurassic World Velocicoaster,Universal Studios Islands of Adventure
4,El Toro,Six Flags Great Adventure
5,Voyage,Holiday World
6,Fury 325,Carowinds
7,Lightning Rod,Dollywood
8,Skyrush,Hersheypark
9,Phantom's Revenge,Kennywood
10,Mystic Timbers,Kings Island
11,Time Traveler,Silver Dollar City
12,Storm Chaser,Kentucky Kingdom
13,Twisted Timbers,Kings Dominion
14,Maverick,Cedar Point
15,Twisted Cyclone,Six Flags Over Georgia
16,Outlaw Run,Silver Dollar City
17,Storm Runner,Hersheypark
18,Phoenix,Knoebels Amusement Resort
19,Mako,SeaWorld Orlando
20,Iron Rattler,Six Flags Fiesta Texas
21,New Texas Giant,Six Flags Over Texas
22,Copperhead Strike,Carowinds
23,Intimidator 305,Kings Dominion
24,Millennium Force,Cedar Point
25,Orion,Kings Island